property name ,Room Price (in BDT or any other currency),review_count,Comment about room
276. Pullman Bangkok King Power," 23,807","3,740","good service mind and polite, nice foods, good restaurant with buffet breakfast, lunch and dinner as well and enjoy shopping duty free with counter brand and local bra..."
277. Conrad Bangkok," 19,156","4,535","It was showing wear,"
278. Rabbit Resort Pattaya," 10,724","1,925","An outstanding breakfast is included with the room, and is served daily"
279. The Waterfront Boutique Hotel," 10,157","1,223","The family beach bungalow was perfect, two bedrooms"
280. Flower Power Farm Village & Restaurant," 1,034",202,Marco and Simona are very frindly people and they offered us one of their very
281. Deevana Patong Resort & Spa," 5,781","7,334",My husband and I stayed 7 nights in a jacuzzi room
282. La Petite Salil Sukhumvit 8," 3,798",793,Hotel service
283. Emporium Suites by Chatrium," 13,036","2,617","everything we need, lovely staff especialy Front staff, good location next to the shopping mall Emporium + Emquartier, easy access to the BTS, Lovely place good to be back."
284. Novotel Bangkok Ploenchit Sukhumvit," 12,277","5,814",Excellent
285. Mercure Bangkok Sukhumvit 11," 11,516","1,582","breakfast was large and varied and includes an omelette station, the pool and bar is much bigger than what it appears in the photos and is absolutely gorgeous with plent..."
286. The L Resort Krabi," 12,444",911,Nice hotel
287. Asoke Residence Sukhumvit by UHG," 4,858",377,Great place to stay easy
288. Skyview Hotel Bangkok," 13,778","1,190",Amazing
289. OZO Chaweng Samui," 10,388","2,657",I love ozo is verry Nice Hotel the people verry friendly Good food nice Swimmingpool
290. Dusit Princess Srinakarin," 10,301",810,"We have stayed in the queen suite room, a very"
291. Somerset Rama 9," 11,372",352,"Great experience, staff very helpful and friendly, Jed and Arm helped us checkout and with luggage, we"
"292. Bandara Suites Silom, Bangkok"," 7,310","2,191",Good room and super breakfast excellent value for money comfortably
"293. Mayfair, Bangkok - Marriott Executive Apartments"," 13,406","1,424",The breakfast buffet is great with a wide selection and the staff remember how I like my bacon cooked (well
"294. Kantary Hills, Chiang Mai"," 6,490","1,010",and a separate bedroom.
"295. Staybridge Suites Bangkok Thonglor, an IHG Hotel"," 7,595",164,
296. Baan Duangkaew Resort," 7,438",233,the bungalow
297. Long Beach Inn," 4,158",265,The pool and jacuzzi
298. The Tint At Phuket Town," 2,181",486,"would highly recommend anyone spending some time in Phuket to stay here. Also, it’s right next to the Limelight mall, so if you ever need a snack, you know where to go."
299. Chura Samui," 6,545",445,It has everything
300. Mai Siam Resort," 4,139",274,with tv and fridge.
301. The Salil Hotel Sukhumvit 57 - Thonglor," 11,559","2,830","staff very nice helpful and friendly,"
302. Rimping Village," 7,925","2,632","for a family of four, the breakfast buffet was amazing and the staff were genuinely fantastic, very helpful with tips on where to go and what to do, arranging taxis etc."
303. VIE Hotel Bangkok," 15,350","3,897",
304. The Continent Hotel Sukhumvit Bangkok by Compass Hospitality," 12,907","2,610","Special thank you to Pran (best monijto maker in Thailand by far!!!)! Lots of love Ashleigh and Brad, London England (we will definitely recomend to friends particulars"
305. Lancaster Bangkok," 10,507","1,081",Pros Bathtub big and comfortable Great shower
"306. Sindhorn Midtown Hotel Bangkok, Vignette Collection"," 15,555",414,I'm glad I've found a refuge that offers the peace and serenity
307. Cape House," 13,782",799,abundantly supplied.
308. FuramaXclusive Asoke," 9,437","1,187","Love furama everythings, excellent"
309. Avani Sukhumvit Bangkok Hotel," 8,793",630,"Staying at a hotel that offers good value, a convenient"
310. Absolute Bangla Suites," 11,245",508,loved the stay in the executive
311. The Yard Hostel," 3,103",710,
312. Movenpick BDMS Wellness Resort Bangkok," 11,309",160,"The experience was as good as the first stay - large, well-decorated,"
313. Siri Sathorn Bangkok by UHG," 5,334",575,"with my Family, the room is large and comfortable for stay, Have parking and near restaurant, near the BTS and MRT Station , the swimming pool so good and great Fitne..."
314. ASAI Bangkok Chinatown," 6,581",802,Good service…... we will
315. Lanna Samui," 7,810","1,550",staying for a month… beautiful hotel at very reasonable prices. I had a one bedroom suite which was spacious and very comfortable. The gym is well equiped and the food…
316. Siamaze Hostel," 1,883",743,"excellent air conditioning, the nicest staff you could ever find and a great atmosphere that encourages mingling.  We stayed here 9 nights between 12/22 and 2/23 and..."
317. Baan KanTiang See Villas (2 bedroom villas)," 7,639",421,"The beautiful house we booked had everything you need, good air conditioning, a fully equipped"
318. TUI BLUE Khao Lak Resort," 4,732","1,263",
319. Khaolak Paradise Resort," 9,131",298,"me am I really here place. 
 There are only 36 rooms set in thatched roof blocks of four (2up 2 down) leading on to a soft sandy beach which northwards stretches..."
320. Aspery Hotel," 2,302","1,872",this hotel and staff are second
321. Khaolak Oriental Resort," 4,629",383,"min walk to the beach,  5 min walk to the main road. Perfect location to explore. 
The rooms were spacious and clean. 
Breakfast had plenty of choice for all. 
Adult..."
322. Moonlight Exotic Bay Resort," 10,386",665,"peaceful, clean and has pretty much everything you need to enjoy the stay. Staff were generally friendly and willing to help. Of course, since it’s hard to hire more..."
323. De Chai Colonial Hotel & Spa," 6,797",659,"Excellent boutique hotel,"
324. Novotel Bangkok Bangna," 5,431","1,004",
325. Evergreen Place Siam by UHG," 7,343",585,"close to shopping centres, BTS and specialty “Great and friendly staffs” ."
"326. Viang Yonok Hotel, Restaurant, Sports Club"," 5,778",388,"The accommodation was spotless, bed super comfortable and we had the king"
327. Mini House Aonang," 5,676",271,had a little balcony.
328. Bangkok Loft Inn," 2,945","1,630","Always the best services and location  is suitable for any need to move around Bangkok, close to BTS which is one of the mass transit system in Bangkok.Plenty of..."
329. Maekok River Village Resort," 6,182",457,"River. The resort is alive with wildlife and surrounded by stunning gardens full of flowers and ponds. The rooms are large, spacious and full of everything you would..."
330. HOMA," 5,282",61,beautifully appointed with all the amenities needed for an enjoyable stay.
331. Rest Detail Hotel Hua Hin," 73,126",609,"Great service ????????????????????????????? Great place , location and sea Good drink ""?????????"" in breakfast ??????????? ????????? ??????? ??????????????????????? Good"
332. The Landmark Bangkok Hotel," 24,946","2,997",we needed We had bed and breakfast and the breakfast had something for everyone We ate in the rib room as part of our 25th wedding anniversary celebrations and it d...
333. Khaolak Merlin Resort," 11,357","1,401","Great location, lovely setting with amazing gardens Khun Gai (the owner) and ALL the staff members are so pleasant, friendly, welcoming and helpful, nothing is too much"
334. Shama Sukhumvit Bangkok," 17,692",740,
"335. Marriott Executive Apartments Sathorn Vista, Bangkok"," 15,145","1,448",the staff very helpful and warmwelcome we will come back to stay agian thank you for memorable stay GREAT recommendation for you to stay in bkk swimming pool clean...
"336. Dusit Suites Hotel Ratchadamri, Bangkok"," 15,739",923,The hotel has a lot to offer as the rooms are very spacious;
337. The Quarter Phromphong By UHG," 8,811",403,"We loved the kindness of the staff, very attentive and professional.The"
338. Cross Pattaya Pratamnak," 15,440",123,They had
"339. Crowne Plaza Bangkok Lumpini Park, an IHG Hotel"," 15,284","1,361",the breakfast option is very vary and great quality!
340. Shanghai Mansion Bangkok," 6,790","3,260","... match, its rooms are full of character and atmosphere, breakfast is excellent made"
341. Somerset Maison Asoke," 9,854",436,Have a. Wonderful experience in Bangkok during my trip to Bangkok nice
342. MUU Bangkok Hotel," 10,083",758,We went to this hotel for a night.Everything great…great services
343. The Quarter Ploenchit by UHG," 11,473",484,but just the shower area with little stains The shower water  is very strong enough Great location too Just a few minutes away from BTS Great value We would...
344. White Ivory Bed & Breakfast," 2,186",201,"The staff are adorable, can't do enough to help,"
345. Chongfah Beach Resort," 7,220",703,"our daughter had a standard first floor room. 
All rooms are of a great standard.  Good bed linens, towels, turn down service and plenty of free water. 
We loved our..."
346. BED Changkian Adults Only," 2,884",445,Nice location
347. Oriental Siam Resort," 7,904",336,It was an oasis where I could rest comfortably
348. Code," 6,809","1,396",I’m settling in
349. The Quarter Ladprao by UHG," 6,107",926,"this is one of the best hotel in Bangkok because the price is suitable , good"
350. Ascott Thonglor Bangkok," 19,325",108,#NAME?
351. COSI Krabi Ao Nang Beach," 3,343",514,The hotel
352. Tony Resort," 3,258",620,"ac, really good location close to the beach and multiple restaurants, bars and shops, lovely and helpful staff, we would recommend to stay here if you visit Patong."
353. Alt Hotel Nana by UHG," 4,061",434,Good service by the hotel Helping staff Good food Good room Good service to drop you
354. COSI Samui Chaweng Beach," 5,501",361,helpful staff.
355. Pajamas Koh Chang," 4,321",359,
356. ibis Styles Bangkok Ratchada," 6,658",245,Location is convenient as Blue line MRT is just a
357. Sabai @ Kan Resort," 3,377",634,"appointed, and suitable for an extended stay."
358. SYN Boutique Hotel," 10,619",119,"Overall, we enjoyed our 3 nights' stay - comfortable"
359. Arden Hotel and Residence by At Mind," 6,196",256,number one of service best of quality and attitude have good sauna fitness and the best of restaurant good quality of breakfast have a lot of varity of food I like...
360. Vm1 Hostel," 1,536",160,"foodies paradise (the street was lined with vendors everyday) at the center of Bangkok. I was looking for a hostel where I’d be able to get a good night’s sleep, as so..."
361. Shangri-La Bangkok," 34,645","12,442","Staff are professional, check in and out all handled well;"
362. The Houben," 21,395",838,"furniture, large in-suite hot bath/jacuzzi, floor-to-ceiling windows facing the prefect sunset sea view, plus very friendly staff, nice pool, good restaurant all exceede..."
363. Eastin Grand Hotel Sathorn," 12,891","9,169","Lovely hotel, great"
364. Mercure Bangkok Makkasan," 8,082","1,231",
365. The Quarter Ari by UHG," 14,302",670,"Third Visited here!!! very Good Room condition, Fantastic View from my room with Great breakfast beautiful pool panoramic view also staff they are very nice thank"
366. Montien Hotel Surawong Bangkok," 11,269",503,Very impressed and will come back again for sure!! City
367. Hotel Nikko Bangkok," 17,002",512,smart toilet.
368. COMO Metropolitan Bangkok," 13,210","2,360","The hotel is almost perfect from all aspects, best staff, incredible"
369. Golden Bell Hotel," 3,450",736,"2023. What a great location and property, at first it seams to be down a kind of ally but it turns out to be in a perfect spot, it’s quite and close to the old city..."
370. Khaolak Bay Front Resort," 5,047",331,"experience.  good room with bedding an towels changed as needed. 

. Stayed for 5 nights and wanted to stay longer. definitely a hotel to good back to. 

Splendid beach and..."
371. Varada Place," 1,823",761,"hotel and would pretty much always stay in this hotel when in Chiang Mai.
It does not have an elevator so you may have to walk up two or three flights of stairs..."
